,affected,rebuilding_factor,inventory_size,productive_capital_to_va_ratio,inventory_tau
Processing of meat poultry,1,0,90,2.9,60
Processing of nuclear fuel,1,0,90,3,60
Processing vegetable oils and fats,1,0,90,1.4,60
Production of electricity by biomass and waste,1,0,90,3,60
Production of electricity by coal,1,0,90,3,60
Production of electricity by gas,1,0,90,3,60
Production of electricity by Geothermal,1,0,90,3,60
Production of electricity by hydro,1,0,90,3,60
Production of electricity by nuclear,1,0,90,3,60
Production of electricity by petroleum and other oil derivatives,1,0,90,3,60
Production of electricity by solar photovoltaic,1,0,90,3,60
Production of electricity by solar thermal,1,0,90,3,60
"Production of electricity by tide, wave, ocean",1,0,90,3,60
Production of electricity by wind,1,0,90,3,60
Production of electricity nec,1,0,90,3,60
Production of meat products nec,1,0,90,1.4,60
"Publishing, printing and reproduction of recorded media (22)",1,0,90,2,60
Pulp,1,0,90,1.5,60
Quarrying of sand and clay,1,0,90,5.1,60
Quarrying of stone,1,0,90,5.1,60
Raw milk,1,0,90,2.9,60
Re-processing of ash into clinker,1,0,90,2,60
Re-processing of secondary aluminium into new aluminium,1,0,90,2,60
Re-processing of secondary construction material into aggregates,1,0,90,2,60
Re-processing of secondary copper into new copper,1,0,90,2,60
Re-processing of secondary glass into new glass,1,0,90,2,60
"Re-processing of secondary lead into new lead, zinc and tin",1,0,90,2,60
Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,1,0,90,2,60
Re-processing of secondary paper into new pulp,1,0,90,2,60
Re-processing of secondary plastic into new plastic,1,0,90,2,60
Re-processing of secondary preciuos metals into new preciuos metals,1,0,90,2,60
Re-processing of secondary steel into new steel,1,0,90,2,60
Re-processing of secondary wood material into new wood material,1,0,90,2,60
Recycling of bottles by direct reuse,1,0,90,2,60
Recycling of waste and scrap,1,0,90,2,60
Renting of machinery and equipment without operator and of personal and household goods (71),1,0,90,4,60
Research and development (73),1,0,90,4,60
Retail sale of automotive fuel,1,0,90,0.7,60
Sea and coastal water transport,0,0,90,1.5,60
Steam and hot water supply,1,0,90,3,60
Sugar refining,1,0,90,1.4,60
Supporting and auxiliary transport activities; activities of travel agencies (63),1,0,90,1.5,60
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",1,0,90,1.4,60
Transmission of electricity,1,0,90,2,60
Transport via pipelines,0,0,90,2.5,60
Transport via railways,1,0,90,3,60
"Waste water treatment, food",1,0,90,3,60
"Waste water treatment, other",1,0,90,3,60
"Wool, silk-worm cocoons",1,0,90,2.9,60
